Id_proveedor,Nombre,Direccion,Telefono,Email
0,Laboratorios Normon,"Ronda de VAldecarrizo 6, 28760 , Madrid",91 806 52 40,info@normon.com
2,J&J,"Polígono Doce Estrellas, 5,  28042, Madrid",917 22 80 00,johnson@johnson.com
6,Laboratorios Cinfa,"Polígono Areta,10 , Navarra",948 33 38 11,sac@cinfa.com
7,Laboratorios Sandoz,"Avenida Osa MAyor, 4 , 28023, Madrid",915488404,info@sandoz.com
8,Laboratorios Kern Farma,"Poligono industrial Colom II, 08228, Terrassa, Barcelona",937 00 2525,info@kernpharma.com
9,Laboratorios Ratiopharm,"Calle Anabel Segura, 11, 28108, Alcobendas, Madrid",915672970,info@ratiopharm.com
10,Novaltia,"polígono la cruz, P_2_8, Lezama, Bizkaia",946 71 91 00,novaltia@novaltia.es
11,Cofares,"Polígono Lapatza 1 , 48970, Basauri, Bizkaia",949 79 00 00,cofares@cofares.es
12,Laboratoios Nuxe,"travesía de Gracia,122 . 08008, Barcelona",947 88 90 00,nuxelaboratorio@nuxe.es
13,Faes Farma,"Avenida Autonimía, 10 , 48940 , Leioa, Bizkaia",944818300,faesfarma@faesfarma.es
14,GSK España,"Calle Severo Ochoa, 2, 28760, Madrid",946 78 98 99,gskespaña@gsk.com
